"nwspol","gender","age","married","urban","native","edulevel","polintr","poldeltag","paidwork"
30,1,22,0,0,1,"Erhvervsuddannelse",3,2,1
180,0,70,0,0,1,"Erhvervsuddannelse",3,1,0
90,0,82,0,0,1,"Lang videregående",1,3,0
30,0,65,1,0,1,"Erhvervsuddannelse",3,2,0
30,1,81,1,0,1,"Gymnasium",4,1,0
30,1,75,0,0,1,"Lang videregående",1,5,1
120,0,60,1,0,1,"Lang videregående",2,2,1
90,1,75,1,0,1,"Kort/Mellemlang videregående",3,1,0
60,1,16,0,1,1,"Gymnasium",2,3,0
75,0,59,0,1,1,"Kort/Mellemlang videregående",2,2,1
5,0,31,0,0,1,"Erhvervsuddannelse",4,1,0
30,1,25,0,1,1,"Kort/Mellemlang videregående",3,2,1
885,0,16,0,1,0,"Gymnasium",1,4,0
60,1,81,1,0,1,"Grundskole",2,1,0
60,0,50,1,1,1,"Lang videregående",2,3,1
30,0,36,1,0,1,"Kort/Mellemlang videregående",3,2,1
2,0,73,1,0,1,"Gymnasium",NA,2,0
60,0,18,0,0,1,"Gymnasium",2,1,1
120,0,74,0,0,1,"Kort/Mellemlang videregående",1,2,0
60,0,55,0,0,1,"Kort/Mellemlang videregående",2,3,1
15,1,65,1,0,1,"Erhvervsuddannelse",2,2,0
60,1,72,1,0,1,"Kort/Mellemlang videregående",3,2,0
15,0,55,1,1,1,"Lang videregående",3,2,1
120,1,61,0,0,1,"Erhvervsuddannelse",2,1,1
30,1,41,0,1,1,"Lang videregående",2,4,1
30,1,26,0,0,1,"Erhvervsuddannelse",3,2,1
30,0,37,0,0,1,"Erhvervsuddannelse",3,2,1
60,0,41,0,0,1,"Kort/Mellemlang videregående",2,2,1
90,0,72,1,0,1,"Lang videregående",1,2,0
122,1,66,0,0,1,"Erhvervsuddannelse",1,3,1
60,1,63,0,1,1,"Erhvervsuddannelse",2,2,1
30,1,34,0,1,1,"Erhvervsuddannelse",4,2,1
10,1,54,1,0,1,"Erhvervsuddannelse",4,1,1
0,0,76,1,1,1,"Kort/Mellemlang videregående",4,NA,0
90,1,72,1,0,1,"Erhvervsuddannelse",1,2,0
60,0,16,0,0,1,"Gymnasium",3,3,0
120,1,38,1,1,0,"Erhvervsuddannelse",4,1,1
60,1,66,0,1,1,"Erhvervsuddannelse",2,2,0
5,1,79,0,1,1,"Grundskole",3,1,1
165,1,62,0,1,1,"Lang videregående",2,4,1
30,0,54,0,0,1,"Erhvervsuddannelse",3,1,1
30,1,46,0,0,1,"Erhvervsuddannelse",3,3,1
60,1,63,0,0,1,"Gymnasium",2,2,0
90,1,50,1,1,1,"Kort/Mellemlang videregående",1,5,1
90,0,53,1,1,1,"Erhvervsuddannelse",2,2,1
30,1,43,1,0,1,"Kort/Mellemlang videregående",3,3,1
60,0,88,0,0,1,"Erhvervsuddannelse",4,1,0
60,0,52,0,0,1,"Kort/Mellemlang videregående",2,3,1
60,1,40,1,0,1,"Lang videregående",2,2,1
120,1,49,0,0,1,"Gymnasium",2,4,0
30,0,29,0,0,1,"Erhvervsuddannelse",3,2,1
90,0,56,1,1,1,"Lang videregående",3,3,0
30,1,68,0,1,1,"Lang videregående",2,3,0
90,0,36,0,0,1,"Kort/Mellemlang videregående",2,2,1
120,1,42,0,1,0,"Erhvervsuddannelse",2,2,1
60,1,80,0,1,0,"Erhvervsuddannelse",3,1,0
90,1,65,1,1,1,"Lang videregående",2,4,0
30,1,42,0,1,1,"Kort/Mellemlang videregående",4,3,1
180,1,60,1,0,1,"Kort/Mellemlang videregående",1,4,0
30,0,44,1,1,1,"Kort/Mellemlang videregående",2,3,1
120,0,74,0,0,1,"Gymnasium",2,1,0
5,1,26,0,1,1,"Erhvervsuddannelse",2,3,0
60,1,30,0,0,1,"Erhvervsuddannelse",2,2,1
120,0,30,0,1,1,"Kort/Mellemlang videregående",NA,2,0
120,1,38,0,0,1,"Erhvervsuddannelse",2,3,1
60,0,81,0,0,1,"Grundskole",4,1,0
90,0,53,1,0,1,"Erhvervsuddannelse",3,NA,1
15,1,32,1,1,1,"Lang videregående",3,2,1
90,1,75,1,0,1,"Kort/Mellemlang videregående",2,2,0
60,0,64,0,1,1,"Kort/Mellemlang videregående",3,NA,1
30,0,46,0,1,1,"Lang videregående",2,2,1
30,0,61,1,1,1,"Kort/Mellemlang videregående",2,2,1
60,1,84,0,0,1,"Grundskole",3,2,0
60,0,44,1,0,1,"Erhvervsuddannelse",1,3,0
180,1,76,1,0,1,"Erhvervsuddannelse",1,3,0
60,0,77,0,1,1,"Erhvervsuddannelse",4,1,0
60,1,78,1,1,1,"Grundskole",2,2,0
90,1,81,1,0,1,"Lang videregående",2,4,0
30,0,25,0,1,1,"Lang videregående",3,2,1
60,0,70,1,0,1,"Erhvervsuddannelse",2,1,0
120,1,67,1,0,1,"Erhvervsuddannelse",1,4,0
100,1,81,0,0,1,"Grundskole",4,2,0
90,0,76,1,0,1,"Lang videregående",3,2,0
30,1,71,1,0,1,"Grundskole",3,1,0
15,0,41,0,0,1,"Kort/Mellemlang videregående",3,2,1
60,0,29,0,0,1,"Erhvervsuddannelse",2,2,1
30,0,49,1,0,1,"Gymnasium",1,4,1
60,1,32,1,0,1,"Lang videregående",2,2,1
15,1,20,0,0,1,"Erhvervsuddannelse",2,2,0
60,1,24,0,1,1,"Erhvervsuddannelse",3,3,1
60,1,74,0,0,1,"Grundskole",4,1,0
60,1,86,1,1,1,"Erhvervsuddannelse",2,2,0
10,1,21,0,0,1,"Erhvervsuddannelse",2,3,0
60,1,67,1,0,1,"Erhvervsuddannelse",2,2,0
20,0,16,0,0,1,"Gymnasium",2,4,0
90,1,51,0,1,1,"Erhvervsuddannelse",2,3,1
5,0,43,1,1,0,"Kort/Mellemlang videregående",4,2,1
30,1,47,1,0,1,"Lang videregående",2,3,1
60,0,67,0,1,1,"Kort/Mellemlang videregående",4,2,0
30,0,30,1,1,1,"Lang videregående",2,2,1
30,1,56,1,0,1,"Lang videregående",2,3,0
10,1,27,0,0,1,"Erhvervsuddannelse",3,2,1
60,0,64,0,1,1,"Kort/Mellemlang videregående",2,2,0
30,1,15,0,0,1,"Grundskole",2,3,0
30,0,25,0,1,1,"Erhvervsuddannelse",2,2,0
90,1,55,0,0,1,"Erhvervsuddannelse",4,3,1
30,0,37,1,1,1,"Erhvervsuddannelse",3,2,1
120,0,69,1,1,1,"Kort/Mellemlang videregående",2,2,0
45,0,69,0,0,1,"Kort/Mellemlang videregående",3,1,0
120,1,61,1,0,1,"Erhvervsuddannelse",2,2,1
30,0,72,1,0,1,"Kort/Mellemlang videregående",1,2,0
10,0,31,1,0,1,"Erhvervsuddannelse",3,2,1
60,0,73,0,0,1,"Kort/Mellemlang videregående",2,2,0
5,1,24,0,1,1,"Erhvervsuddannelse",4,3,0
30,1,47,1,0,1,"Erhvervsuddannelse",3,2,1
15,0,33,1,0,1,"Kort/Mellemlang videregående",2,2,1
90,1,40,0,0,1,"Erhvervsuddannelse",2,3,1
60,1,73,1,0,1,"Kort/Mellemlang videregående",3,3,0
120,0,50,1,0,1,"Erhvervsuddannelse",2,2,1
30,1,30,0,1,1,"Erhvervsuddannelse",2,2,0
180,1,63,1,0,1,"Lang videregående",1,4,1
30,1,65,0,0,1,"Erhvervsuddannelse",2,3,0
60,1,50,1,0,1,"Kort/Mellemlang videregående",1,4,1
30,0,63,1,0,1,"Erhvervsuddannelse",4,1,0
90,1,35,0,0,1,"Erhvervsuddannelse",2,3,0
90,0,67,0,0,1,"Grundskole",3,1,0
5,0,16,0,0,1,"Gymnasium",2,2,0
10,0,60,0,1,1,"Kort/Mellemlang videregående",3,2,0
0,0,25,0,0,1,"Erhvervsuddannelse",3,3,1
30,1,63,1,1,1,"Lang videregående",2,2,1
30,0,52,0,1,1,"Lang videregående",2,2,1
60,1,59,0,1,1,"Kort/Mellemlang videregående",2,2,1
60,1,55,1,0,0,"Lang videregående",2,2,1
30,1,21,0,0,1,"Erhvervsuddannelse",2,2,0
60,1,40,0,0,1,"Kort/Mellemlang videregående",2,2,1
90,0,53,1,1,1,"Kort/Mellemlang videregående",2,2,1
0,1,17,0,0,1,"Gymnasium",2,2,1
90,1,52,1,0,1,"Erhvervsuddannelse",1,3,1
60,0,67,0,1,1,"Kort/Mellemlang videregående",2,2,0
10,0,83,1,0,1,"Grundskole",2,1,0
30,1,64,0,1,1,"Erhvervsuddannelse",2,3,0
15,0,39,1,0,1,"Kort/Mellemlang videregående",2,3,1
180,0,77,1,0,1,"Gymnasium",1,2,0
10,1,33,0,0,1,"Kort/Mellemlang videregående",3,3,1
30,1,37,0,0,1,"Erhvervsuddannelse",2,3,1
60,1,60,0,0,0,"Kort/Mellemlang videregående",2,3,1
30,1,20,0,1,1,"Erhvervsuddannelse",2,3,0
30,0,17,0,1,1,"Grundskole",3,2,0
10,0,60,1,0,1,"Erhvervsuddannelse",2,1,1
60,1,65,1,0,1,"Lang videregående",3,3,0
30,0,46,0,0,1,"Lang videregående",3,2,1
90,1,74,1,0,1,"Grundskole",2,2,0
15,0,69,1,1,1,"Lang videregående",2,3,0
180,1,71,1,1,1,"Erhvervsuddannelse",2,3,0
30,1,45,0,0,1,"Erhvervsuddannelse",3,4,1
0,1,61,1,0,1,"Gymnasium",NA,1,1
60,0,17,0,0,1,"Gymnasium",2,3,0
10,0,61,1,0,0,"Erhvervsuddannelse",3,1,0
180,0,87,0,1,1,"Kort/Mellemlang videregående",1,2,0
15,0,16,0,0,1,"Gymnasium",2,2,0
120,1,66,1,0,1,"Grundskole",2,2,0
30,0,37,0,0,1,"Kort/Mellemlang videregående",3,2,1
15,0,65,0,0,1,"Kort/Mellemlang videregående",1,3,1
90,0,73,1,0,1,"Erhvervsuddannelse",2,1,0
60,0,49,0,0,1,"Kort/Mellemlang videregående",2,3,1
30,0,27,0,1,1,"Kort/Mellemlang videregående",2,3,1
60,1,40,0,0,1,"Kort/Mellemlang videregående",2,3,1
15,1,46,1,0,1,"Erhvervsuddannelse",2,3,1
60,1,34,0,0,1,"Lang videregående",2,4,1
30,1,73,1,0,1,"Grundskole",3,2,0
30,1,81,1,0,1,"Erhvervsuddannelse",2,1,0
90,0,60,0,1,1,"Lang videregående",2,3,1
60,0,73,0,1,1,"Erhvervsuddannelse",2,2,1
30,0,83,0,1,1,"Gymnasium",2,2,0
60,1,76,1,0,1,"Kort/Mellemlang videregående",1,2,0
120,0,88,0,1,1,"Erhvervsuddannelse",1,2,0
45,0,73,1,0,1,"Kort/Mellemlang videregående",3,2,0
60,0,44,1,0,1,"Kort/Mellemlang videregående",2,2,0
15,0,40,0,1,1,"Erhvervsuddannelse",4,1,1
60,1,30,0,1,1,"Kort/Mellemlang videregående",2,3,1
90,1,30,0,1,1,"Erhvervsuddannelse",2,2,1
120,0,75,1,0,1,"Kort/Mellemlang videregående",3,1,0
30,1,28,0,0,1,"Erhvervsuddannelse",2,2,1
120,0,65,0,0,1,"Kort/Mellemlang videregående",2,3,1
45,1,72,1,0,1,"Grundskole",3,2,0
75,0,59,1,0,1,"Erhvervsuddannelse",2,1,1
15,1,74,0,0,1,"Grundskole",2,1,0
180,1,67,1,0,1,"Erhvervsuddannelse",2,3,0
210,0,75,1,0,1,"Kort/Mellemlang videregående",2,3,0
10,1,22,0,0,1,"Erhvervsuddannelse",4,1,0
60,0,49,0,1,1,"Kort/Mellemlang videregående",1,2,1
30,1,59,0,0,1,"Erhvervsuddannelse",2,3,0
40,1,32,0,0,1,"Lang videregående",2,3,1
60,1,62,0,0,1,"Erhvervsuddannelse",3,2,1
120,0,45,0,0,0,"Kort/Mellemlang videregående",1,3,1
10,1,49,1,0,1,"Erhvervsuddannelse",3,2,1
30,0,84,0,1,1,"Erhvervsuddannelse",2,2,0
15,0,41,1,1,1,"Lang videregående",2,3,1
15,0,46,1,1,1,"Lang videregående",3,2,1
240,1,80,0,1,1,"Kort/Mellemlang videregående",2,2,1
60,0,80,0,0,1,"Kort/Mellemlang videregående",3,1,0
60,0,80,1,0,1,"Erhvervsuddannelse",2,2,0
60,1,64,1,0,1,"Erhvervsuddannelse",1,2,0
10,0,55,0,0,1,"Kort/Mellemlang videregående",3,2,1
45,0,26,0,1,1,"Kort/Mellemlang videregående",3,2,1
10,0,28,0,1,0,"Erhvervsuddannelse",2,1,0
90,1,63,1,1,1,"Lang videregående",2,3,1
30,1,69,0,0,1,"Gymnasium",2,2,0
60,1,44,1,1,1,"Lang videregående",2,4,1
100,0,72,0,1,1,"Kort/Mellemlang videregående",2,1,1
60,0,32,1,0,1,"Kort/Mellemlang videregående",2,4,1
30,1,29,0,0,1,"Kort/Mellemlang videregående",3,2,1
0,1,60,0,1,1,"Kort/Mellemlang videregående",1,3,1
120,1,63,0,0,1,"Erhvervsuddannelse",3,NA,0
60,1,47,0,0,0,"Erhvervsuddannelse",2,2,1
60,1,29,0,1,1,"Erhvervsuddannelse",2,3,1
60,1,65,0,0,1,"Gymnasium",2,3,0
90,1,55,1,0,1,"Kort/Mellemlang videregående",1,2,1
120,0,72,0,0,1,"Kort/Mellemlang videregående",1,4,0
120,0,65,0,0,1,"Lang videregående",1,3,0
10,0,44,1,1,1,"Lang videregående",3,5,1
60,1,28,0,1,1,"Kort/Mellemlang videregående",2,3,1
30,1,31,0,0,1,"Erhvervsuddannelse",3,2,0
90,0,90,0,0,1,"Erhvervsuddannelse",3,2,0
120,0,39,0,1,1,"Lang videregående",1,3,1
15,0,16,0,0,1,"Gymnasium",1,3,0
60,0,75,0,0,1,"Kort/Mellemlang videregående",2,3,0
10,0,63,0,0,1,"Erhvervsuddannelse",3,1,1
10,1,80,1,0,1,"Erhvervsuddannelse",2,2,0
15,0,42,1,0,1,"Erhvervsuddannelse",3,2,1
90,0,83,1,1,1,"Erhvervsuddannelse",2,1,0
30,0,62,1,0,1,"Kort/Mellemlang videregående",3,2,0
30,1,55,1,0,1,"Gymnasium",3,1,1
5,0,45,1,1,1,"Lang videregående",3,2,1
60,1,63,1,0,1,"Erhvervsuddannelse",2,2,1
60,0,45,1,0,1,"Kort/Mellemlang videregående",3,2,1
10,0,36,0,0,1,"Kort/Mellemlang videregående",2,2,1
60,0,82,1,0,1,"Grundskole",2,1,0
30,1,43,1,1,1,"Kort/Mellemlang videregående",3,4,1
90,1,23,0,1,1,"Erhvervsuddannelse",2,3,1
30,1,28,1,0,1,"Erhvervsuddannelse",3,3,1
0,1,45,1,1,0,"Lang videregående",1,3,1
30,1,41,1,0,1,"Kort/Mellemlang videregående",2,3,1
60,1,71,1,0,1,"Erhvervsuddannelse",2,2,1
60,0,63,1,1,1,"Kort/Mellemlang videregående",1,2,0
60,0,68,1,0,1,"Erhvervsuddannelse",2,2,0
60,1,43,0,0,1,"Lang videregående",1,3,1
270,0,73,1,0,1,"Erhvervsuddannelse",2,2,0
90,1,33,0,1,1,"Lang videregående",3,1,1
30,1,39,1,0,1,"Erhvervsuddannelse",2,2,1
60,1,39,0,1,1,"Lang videregående",2,2,1
180,0,53,1,0,1,"Kort/Mellemlang videregående",2,2,1
60,0,58,1,1,1,"Lang videregående",1,3,1
30,0,36,0,0,1,"Lang videregående",3,2,1
45,0,70,0,0,1,"Gymnasium",2,2,0
30,0,78,0,0,1,"Grundskole",3,1,0
180,0,58,0,0,1,"Kort/Mellemlang videregående",3,1,0
10,0,61,0,0,1,"Erhvervsuddannelse",2,2,0
15,1,69,1,0,1,"Gymnasium",4,2,0
120,1,69,0,0,1,"Erhvervsuddannelse",2,2,0
30,0,51,0,0,1,"Kort/Mellemlang videregående",3,1,1
60,1,20,0,1,0,"Gymnasium",2,2,0
30,0,33,1,0,1,"Kort/Mellemlang videregående",2,2,0
30,0,18,0,0,1,"Gymnasium",3,3,0
120,0,88,1,0,1,"Grundskole",2,2,0
60,0,81,0,0,1,"Erhvervsuddannelse",2,NA,0
60,0,23,0,0,1,"Gymnasium",2,2,0
182,1,80,1,0,1,"Erhvervsuddannelse",2,2,0
10,1,48,0,0,1,"Lang videregående",3,4,1
20,1,42,1,1,0,"Lang videregående",3,2,1
30,0,82,0,0,1,"Erhvervsuddannelse",3,2,0
90,0,65,0,0,1,"Kort/Mellemlang videregående",1,2,1
30,1,52,0,1,1,"Lang videregående",3,1,1
30,0,65,0,0,1,"Gymnasium",2,2,1
60,0,58,0,0,1,"Kort/Mellemlang videregående",2,3,1
120,0,85,0,0,1,"Erhvervsuddannelse",2,2,0
20,1,16,0,0,1,"Gymnasium",2,2,0
60,0,27,0,1,0,"Kort/Mellemlang videregående",3,3,1
60,1,67,1,0,1,"Erhvervsuddannelse",3,2,1
20,0,35,1,1,1,"Erhvervsuddannelse",3,2,1
30,0,36,0,0,1,"Kort/Mellemlang videregående",2,2,1
30,0,38,1,0,1,"Lang videregående",2,4,1
5,0,27,0,0,1,"Erhvervsuddannelse",4,2,0
30,1,58,1,0,1,"Kort/Mellemlang videregående",2,2,1
15,0,36,0,0,1,"Kort/Mellemlang videregående",2,4,1
90,1,45,1,0,1,"Erhvervsuddannelse",2,2,0
180,1,76,0,1,1,"Kort/Mellemlang videregående",1,5,0
60,0,73,1,0,1,"Lang videregående",1,2,0
60,0,74,1,1,1,"Erhvervsuddannelse",3,1,0
30,0,73,1,0,1,"Erhvervsuddannelse",2,2,0
90,0,85,1,1,1,"Erhvervsuddannelse",2,2,0
60,1,37,1,0,1,"Erhvervsuddannelse",3,2,1
120,0,78,1,1,1,"Erhvervsuddannelse",2,2,0
120,0,41,1,1,1,"Lang videregående",1,4,1
60,0,56,1,0,1,"Erhvervsuddannelse",3,2,1
90,1,72,1,1,1,"Lang videregående",2,3,0
120,0,66,0,1,1,"Lang videregående",1,3,1
60,1,46,0,1,1,"Lang videregående",1,4,1
60,1,62,1,0,0,"Kort/Mellemlang videregående",2,3,1
120,0,63,1,0,1,"Grundskole",2,2,1
180,0,85,0,1,1,"Kort/Mellemlang videregående",3,2,0
35,1,64,0,0,1,"Erhvervsuddannelse",3,2,0
150,0,73,1,1,1,"Kort/Mellemlang videregående",2,3,0
10,0,45,1,0,1,"Lang videregående",2,2,1
307,1,86,1,0,1,"Grundskole",2,2,0
30,1,55,0,0,1,"Kort/Mellemlang videregående",3,2,1
20,1,72,1,0,1,"Erhvervsuddannelse",2,2,0
90,1,41,1,1,1,"Kort/Mellemlang videregående",2,2,0
120,0,70,1,0,1,"Kort/Mellemlang videregående",2,2,0
90,0,80,1,1,1,"Grundskole",2,3,0
45,1,63,1,1,1,"Erhvervsuddannelse",3,1,1
30,1,48,0,1,1,"Erhvervsuddannelse",2,2,1
180,0,34,1,0,1,"Erhvervsuddannelse",2,5,0
150,0,69,0,0,1,"Erhvervsuddannelse",1,2,0
15,0,15,0,1,1,"Grundskole",2,2,0
180,0,74,0,0,1,"Erhvervsuddannelse",2,3,0
60,0,74,1,1,1,"Erhvervsuddannelse",2,3,0
30,1,62,1,1,1,"Kort/Mellemlang videregående",3,1,1
180,0,66,1,0,1,"Kort/Mellemlang videregående",2,2,0
30,0,32,0,1,1,"Kort/Mellemlang videregående",2,3,1
70,1,49,1,1,1,"Lang videregående",1,3,1
45,1,45,1,0,1,"Lang videregående",2,4,1
45,1,50,1,1,0,"Lang videregående",1,3,1
210,0,66,0,0,1,"Grundskole",2,4,0
10,1,54,0,1,1,"Gymnasium",3,1,0
90,1,42,1,1,1,"Lang videregående",2,4,1
180,0,62,0,0,1,"Kort/Mellemlang videregående",2,2,0
180,1,69,0,1,1,"Lang videregående",2,3,0
120,0,70,0,0,1,"Kort/Mellemlang videregående",3,1,0
NA,0,45,1,1,1,"Lang videregående",3,2,1
120,0,72,0,1,1,"Erhvervsuddannelse",2,1,0
30,1,54,1,0,1,"Kort/Mellemlang videregående",2,2,1
60,1,47,1,1,1,"Erhvervsuddannelse",2,2,1
60,0,72,0,0,1,"Erhvervsuddannelse",2,2,0
5,0,41,1,0,1,"Kort/Mellemlang videregående",3,2,1
240,1,85,1,0,1,"Grundskole",4,1,0
240,1,59,1,0,1,"Erhvervsuddannelse",2,2,1
60,1,54,0,0,1,"Erhvervsuddannelse",2,2,1
30,1,76,0,0,1,"Grundskole",3,2,0
120,1,42,0,1,1,"Lang videregående",2,2,1
20,1,23,0,0,1,"Kort/Mellemlang videregående",2,2,1
180,1,63,1,1,1,"Lang videregående",2,2,1
90,1,73,1,0,1,"Erhvervsuddannelse",2,2,0
15,0,16,0,0,1,"Gymnasium",3,2,0
60,0,41,0,0,1,"Lang videregående",3,2,1
15,0,19,0,1,0,"Erhvervsuddannelse",2,4,1
90,0,57,0,1,1,"Kort/Mellemlang videregående",2,1,1
30,0,76,1,0,1,"Grundskole",4,1,0
NA,0,90,0,0,1,"Erhvervsuddannelse",1,2,0
60,0,68,0,1,1,"Kort/Mellemlang videregående",2,2,0
120,1,65,1,1,1,"Erhvervsuddannelse",2,2,0
20,1,26,0,0,1,"Erhvervsuddannelse",2,2,0
5,0,31,0,1,1,"Lang videregående",1,5,1
30,1,63,1,0,1,"Lang videregående",2,2,1
60,0,46,0,0,1,"Kort/Mellemlang videregående",3,2,1
60,0,62,1,0,1,"Erhvervsuddannelse",2,2,1
40,1,75,0,0,1,"Gymnasium",3,1,0
180,1,29,0,1,1,"Lang videregående",2,4,1
120,0,82,0,0,1,"Lang videregående",2,1,0
60,0,53,0,1,1,"Lang videregående",2,2,1
20,0,54,0,0,1,"Kort/Mellemlang videregående",3,3,1
30,1,39,0,0,0,"Erhvervsuddannelse",4,2,1
30,0,60,0,1,1,"Kort/Mellemlang videregående",2,2,1
90,1,58,0,0,1,"Erhvervsuddannelse",4,1,0
NA,1,64,1,0,1,"Erhvervsuddannelse",2,2,0
3,1,59,1,0,1,"Lang videregående",3,1,1
5,1,77,0,1,1,"Erhvervsuddannelse",3,3,0
50,1,58,0,0,1,"Kort/Mellemlang videregående",2,3,1
30,0,60,1,1,1,"Erhvervsuddannelse",4,1,1
10,1,63,1,0,1,"Grundskole",2,2,1
120,1,41,1,1,1,"Erhvervsuddannelse",1,4,1
60,1,69,0,0,1,"Erhvervsuddannelse",3,1,0
15,0,60,0,0,1,"Kort/Mellemlang videregående",3,1,1
30,0,59,1,1,1,"Erhvervsuddannelse",3,1,1
120,1,75,1,0,1,"Grundskole",2,2,0
75,1,51,1,0,1,"Kort/Mellemlang videregående",2,2,1
150,0,65,0,0,1,"Kort/Mellemlang videregående",2,1,0
120,1,70,1,1,1,"Grundskole",3,1,0
60,1,33,1,0,1,"Lang videregående",2,2,1
15,1,42,1,0,1,"Lang videregående",2,3,1
60,0,42,1,0,1,"Lang videregående",2,1,1
15,0,48,0,0,1,"Kort/Mellemlang videregående",3,4,1
30,0,59,0,0,1,"Kort/Mellemlang videregående",2,1,0
30,1,62,0,0,1,"Erhvervsuddannelse",4,1,1
10,0,42,0,0,1,"Lang videregående",3,3,1
90,0,58,1,1,1,"Kort/Mellemlang videregående",2,2,1
10,0,20,0,0,1,"Erhvervsuddannelse",3,2,0
30,0,43,1,1,1,"Lang videregående",3,2,1
30,1,23,0,0,1,"Erhvervsuddannelse",2,2,1
90,1,56,0,0,1,"Kort/Mellemlang videregående",1,2,0
60,1,67,1,0,1,"Erhvervsuddannelse",3,2,1
30,1,18,0,0,1,"Gymnasium",2,2,0
46,0,75,1,0,1,"Erhvervsuddannelse",3,1,0
15,1,44,1,1,1,"Kort/Mellemlang videregående",2,4,1
30,1,51,1,1,1,"Erhvervsuddannelse",3,2,1
20,0,16,0,1,1,"Gymnasium",3,2,0
30,0,76,0,0,1,"Kort/Mellemlang videregående",2,1,0
60,0,27,0,1,1,"Lang videregående",2,3,1
90,0,28,0,0,1,"Erhvervsuddannelse",2,2,1
60,1,64,1,0,0,"Erhvervsuddannelse",3,4,1
60,1,59,0,0,1,"Gymnasium",2,2,1
60,1,29,0,1,1,"Erhvervsuddannelse",3,2,1
30,0,76,0,0,1,"Erhvervsuddannelse",2,2,0
15,1,46,1,0,1,"Erhvervsuddannelse",3,1,1
30,0,47,0,1,1,"Erhvervsuddannelse",3,2,1
120,1,69,0,0,1,"Grundskole",1,2,0
40,1,59,1,1,1,"Lang videregående",3,2,1
30,1,17,0,1,1,"Gymnasium",2,2,0
30,0,37,1,0,1,"Kort/Mellemlang videregående",3,2,1
30,0,18,0,0,1,"Gymnasium",3,2,0
60,0,38,0,0,1,"Lang videregående",2,4,0
30,1,61,0,1,1,"Gymnasium",3,2,1
45,0,62,1,1,1,"Lang videregående",1,2,1
120,1,77,1,0,1,"Grundskole",2,2,0
30,1,56,0,1,1,"Kort/Mellemlang videregående",2,1,1
80,1,49,1,0,1,"Erhvervsuddannelse",2,3,1
30,1,20,1,0,1,"Erhvervsuddannelse",3,2,1
30,0,46,0,0,1,"Kort/Mellemlang videregående",2,3,1
60,0,20,0,0,1,"Erhvervsuddannelse",2,3,0
30,1,18,0,0,1,"Gymnasium",3,3,0
20,1,32,0,1,1,"Kort/Mellemlang videregående",1,3,0
60,0,58,0,1,1,"Lang videregående",2,2,1
0,0,41,0,1,1,"Kort/Mellemlang videregående",4,2,1
120,1,81,1,0,1,"Kort/Mellemlang videregående",3,1,0
30,1,51,1,0,1,"Kort/Mellemlang videregående",2,4,1
30,1,71,1,0,1,"Kort/Mellemlang videregående",2,2,0
150,1,47,1,0,1,"Lang videregående",2,3,1
90,1,68,1,1,1,"Gymnasium",2,2,0
60,0,65,1,1,1,"Kort/Mellemlang videregående",2,2,0
30,0,30,1,1,1,"Lang videregående",3,3,1
120,1,84,1,0,1,"Erhvervsuddannelse",2,1,0
45,0,33,0,1,1,"Lang videregående",2,4,0
180,1,82,0,0,1,"Grundskole",3,1,0
60,0,63,1,0,1,"Kort/Mellemlang videregående",2,2,0
120,1,74,1,0,1,"Erhvervsuddannelse",1,2,1
30,0,55,1,0,1,"Kort/Mellemlang videregående",2,2,1
20,0,77,1,0,1,"Erhvervsuddannelse",3,2,0
180,1,76,0,0,1,"Erhvervsuddannelse",1,3,0
60,1,73,1,0,1,"Grundskole",2,1,1
10,1,75,0,0,1,"Grundskole",3,1,0
60,0,38,0,0,1,"Erhvervsuddannelse",3,2,1
45,1,20,0,1,1,"Erhvervsuddannelse",4,2,0
60,1,35,1,1,1,"Kort/Mellemlang videregående",2,3,1
10,1,29,0,1,1,"Kort/Mellemlang videregående",3,2,1
390,1,74,0,0,1,"Erhvervsuddannelse",2,2,0
60,1,68,1,0,1,"Erhvervsuddannelse",2,1,0
60,1,19,0,0,1,"Erhvervsuddannelse",3,2,1
60,0,76,1,0,1,"Erhvervsuddannelse",2,1,0
15,0,78,1,0,1,"Erhvervsuddannelse",4,1,0
60,1,44,0,0,1,"Lang videregående",2,5,1
60,1,87,0,0,1,"Lang videregående",2,2,0
50,0,51,1,0,1,"Lang videregående",2,3,1
180,0,75,0,0,1,"Kort/Mellemlang videregående",2,1,0
30,1,33,0,1,1,"Lang videregående",3,2,1
60,1,37,1,1,1,"Kort/Mellemlang videregående",2,2,1
90,0,53,1,1,1,"Kort/Mellemlang videregående",2,2,1
20,0,23,0,0,1,"Kort/Mellemlang videregående",3,2,1
210,0,82,1,0,1,"Lang videregående",2,2,0
150,1,58,1,1,1,"Kort/Mellemlang videregående",1,2,1
30,0,61,0,0,0,"Kort/Mellemlang videregående",2,2,0
120,1,27,0,1,1,"Lang videregående",2,2,1
60,0,33,0,0,1,"Erhvervsuddannelse",2,2,1
45,1,42,1,0,1,"Lang videregående",2,2,1
30,1,77,1,0,1,"Erhvervsuddannelse",3,2,0
15,0,39,0,0,1,"Kort/Mellemlang videregående",3,2,1
60,1,36,0,1,0,"Kort/Mellemlang videregående",2,3,0
120,0,77,1,0,1,"Erhvervsuddannelse",1,3,0
30,0,76,1,1,1,"Erhvervsuddannelse",2,2,0
180,1,52,1,1,1,"Erhvervsuddannelse",2,3,1
